title,description,image,url,keywords,category
Evita: The Making of a Superstar,Suzy Klein discovers the story of one of the West End's most celebrated characters.,https://ichef.bbci.co.uk/images/ic/1200x675/p06rvhnc.jpg,https://www.bbc.co.uk/iplayer/episode/b0bt4bq6/evita-the-making-of-a-superstar,"BBC, iPlayer, TV, Evita: The Making of a Superstar",arts
Upstream,A psycho-acoustic flight along the course of the river Dee in Scotland.,https://ichef.bbci.co.uk/images/ic/1200x675/p07pdjbl.jpg,https://www.bbc.co.uk/iplayer/episode/m0008z3c/upstream,"BBC, iPlayer, TV, Upstream",arts
Handmade in Bolton - Series 1: 4. Rock Crystal Bottle,Shaun Greenhalgh attempts to carve a 10th-century Islamic bottle out of rock crystal.,https://ichef.bbci.co.uk/images/ic/1200x675/p07q4l1s.jpg,https://www.bbc.co.uk/iplayer/episode/m0009dkh/handmade-in-bolton-series-1-4-rock-crystal-bottle,"BBC, iPlayer, TV, Handmade in Bolton, Series 1: 4. Rock Crystal Bottle",arts
Mystify: Michael Hutchence,"An intimate portrait of Michael Hutchence, lead singer of INXS.",https://ichef.bbci.co.uk/images/ic/1200x675/p07ycgpr.jpg,https://www.bbc.co.uk/iplayer/episode/m000crsv/mystify-michael-hutchence,"BBC, iPlayer, TV, Mystify: Michael Hutchence",arts
Classic Albums - Tears for Fears: Songs from the Big Chair,Documentary that explores the creation of the second album by Tears for Fears.,https://ichef.bbci.co.uk/images/ic/1200x675/p0828tzj.jpg,https://www.bbc.co.uk/iplayer/episode/m000f8xc/classic-albums-tears-for-fears-songs-from-the-big-chair,"BBC, iPlayer, TV, Classic Albums, Tears for Fears: Songs from the Big Chair",arts
Art of Persia - Series 1: Episode 3,"Samira Ahmed goes back to when Persia faced her gravest threat, Genghis Khan.",https://ichef.bbci.co.uk/images/ic/1200x675/p08hvjlq.jpg,https://www.bbc.co.uk/iplayer/episode/m000kjj2/art-of-persia-series-1-episode-3,"BBC, iPlayer, TV, Art of Persia, Series 1: Episode 3",arts
Everything - The Real Thing Story,The story of four Liverpool boys who became Britain's most enduring soul and funk act.,https://ichef.bbci.co.uk/images/ic/1200x675/p08mc3b7.jpg,https://www.bbc.co.uk/iplayer/episode/m000lj5v/everything-the-real-thing-story,"BBC, iPlayer, TV, Everything - The Real Thing Story",arts
Handmade in Africa - Series 1: 3. Maasai Wedding Necklace,"Jane Semanto, a master bead maker, crafts a traditional Maasai wedding necklace.",https://ichef.bbci.co.uk/images/ic/1200x675/p08pj2kt.jpg,https://www.bbc.co.uk/iplayer/episode/m000m7j4/handmade-in-africa-series-1-3-maasai-wedding-necklace,"BBC, iPlayer, TV, Handmade in Africa, Series 1: 3. Maasai Wedding Necklace",arts
Beacons: Short Films from Wales - Series 1: 6. Leaf Boat,A Welsh-language animated short film about love - life's greatest adventure.,https://ichef.bbci.co.uk/images/ic/1200x675/p08qrvyt.jpg,https://www.bbc.co.uk/iplayer/episode/m000mpl0/beacons-short-films-from-wales-series-1-6-leaf-boat,"BBC, iPlayer, TV, Beacons: Short Films from Wales, Series 1: 6. Leaf Boat",arts
Craftivism: Making a Difference,Jenny Eclair meets crafters using their skills to get their voices heard.,https://ichef.bbci.co.uk/images/ic/1200x675/p095958b.jpg,https://www.bbc.co.uk/iplayer/episode/m000rxn0/craftivism-making-a-difference,"BBC, iPlayer, TV, Craftivism: Making a Difference",arts
